"Palabra","Palabra.1","Palabra.2","Palabra.3","Palabra.4","Palabra.5","Palabra.6","Palabra.7","Palabra.8","Palabra.9","Palabra.10","Palabra.11","Palabra.12","Palabra.13","Palabra.14","Palabra.15","Palabra.16","Palabra.17","Palabra.18","Palabra.19","Palabra.20"
"Ch'ing Hsuan-t'ung","Ching Hsüan-tung","","","","","","","","","","","","","","","","","","",""
"Certificados de la Tesorería de la Federación, México","Certificados de la Tesoreria de la Federación, México","","","","","","","","","","","","","","","","","","",""
"Centro de Estudios de Historia de México, Condumex, S.A., México","Centro de Estudios de Historia de México, CONDUMEX, S.A., México","","","","","","","","","","","","","","","","","","",""
"Centro de Estudios Fronterizos del Norte de México","Centro de Estudios Fronterizos del Norte, México","","","","","","","","","","","","","","","","","","",""
"Castro, Inés de","Inés de Castro","","","","","","","","","","","","","","","","","","",""
"Castro Leñero, Miguel","Castro Lenero, Miguel","","","","","","","","","","","","","","","","","","",""
"Casas de bolsa","Casas de Bolsa","","","","","","","","","","","","","","","","","","",""
"Caruso, Enrico","Caruso, Enrico,","","","","","","","","","","","","","","","","","","",""
"Carreras de caballos","Caballos de carreras","","","","","","","","","","","","","","","","","","",""
"Carrera, José Miguel","Carrera, José Miguel,","","","","","","","","","","","","","","","","","","",""
"Capital de inversión","Inversión de capital","","","","","","","","","","","","","","","","","","",""
"Cané, Miguel","Cane, Miguel","","","","","","","","","","","","","","","","","","",""
"Cantones del Este (Quebec, Canadá)","Cantones del Este (Quebec, Canada)","","","","","","","","","","","","","","","","","","",""
"Cantantes de opera","Cantantes de ópera","","","","","","","","","","","","","","","","","","",""
"Campinas, Brasil","Campiñas, Brasil","","","","","","","","","","","","","","","","","","",""
"Campaña política","Campaña Política","","","","","","","","","","","","","","","","","","",""
"Cambó, Francesc","Cambo?, Francesc,","","","","","","","","","","","","","","","","","","",""
"Caligrafía zen","Caligrafía Zen","","","","","","","","","","","","","","","","","","",""
"Calendario gregoriano","Calendario Gregoriano","","","","","","","","","","","","","","","","","","",""
"Cacheu, Guinea-Bissau","Cacheu, Guinea Bissau","","","","","","","","","","","","","","","","","","",""
"C++ (Lenguaje de programación)","C (Lenguaje de programación)","","","","","","","","","","","","","","","","","","",""
"Bâ, Amadou Hampâté","Ba, Amadou Hampate","","","","","","","","","","","","","","","","","","",""
"Brujas, Bélgica","Brujas (Bélgica)","","","","","","","","","","","","","","","","","","",""
"Brindis, Costumbres de","Brindis, costumbres de","","","","","","","","","","","","","","","","","","",""
"Brahma-samaj","Brahma-Samaj","","","","","","","","","","","","","","","","","","",""
"Boscán y Almogáver, Juan","Boscán y Almogáver Juan","","","","","","","","","","","","","","","","","","",""
"Bonifácio, José","Bonifacio, José","","","","","","","","","","","","","","","","","","",""
"Bonifacio, Andrés","Bonifacio, Andres","","","","","","","","","","","","","","","","","","",""
"Biónica","Bionica","","","","","","","","","","","","","","","","","","",""
"Biografías","Biografías.","","","","","","","","","","","","","","","","","","",""
"Bilbao (España)","Bilbao, España","","","","","","","","","","","","","","","","","","",""
"Biblioteca apostolica vaticana","Biblioteca Apóstolica Vaticana","","","","","","","","","","","","","","","","","","",""
"Biblia$$kAntiguo Testamento$$kSalmos","Biblia$$kAntiguo testamento$$kSalmos","","","","","","","","","","","","","","","","","","",""
"Berlín, Batalla de, 1945","Berlin, Batalla de, 1945","","","","","","","","","","","","","","","","","","",""
"Bennett, Arnold,","Bennett, Arnold","","","","","","","","","","","","","","","","","","",""
"Bemberg, Maria Luisa","Bemberg, María Luisa","","","","","","","","","","","","","","","","","","",""
"Bang Chan, Tailandia","Bang Chan (Tailandia)","","","","","","","","","","","","","","","","","","",""
"Banco Mexicano SOMEX","Banco Mexicano Somex","","","","","","","","","","","","","","","","","","",""
"Año nuevo","Año Nuevo","","","","","","","","","","","","","","","","","","",""
"Azcapotzalco (Distrito Federal, México : Delegación)","Azcapotzalco ((Distrito Federal, México : Delegación)","","","","","","","","","","","","","","","","","","",""
"Avila, Pedro Arias de","Avila, Pedro Arías de","","","","","","","","","","","","","","","","","","",""
"Avila (España: Provincia)","Avila (España : Provincia)","","","","","","","","","","","","","","","","","","",""
"Autoras puertorriqueñas","Autoras Puertorriqueñas","","","","","","","","","","","","","","","","","","",""
"Auden, W. H.$$qWystan Hugh","Auden, W. H$$qWystan Hugh","","","","","","","","","","","","","","","","","","",""
"Aub, Max, 1903-1972","Aub, Max (1903-1972)","","","","","","","","","","","","","","","","","","",""
"Atmósfera","Atmosfera","","","","","","","","","","","","","","","","","","",""
"Atlántico (Colombia : Departamento)","Atlántico (Colombia: Departamento)","","","","","","","","","","","","","","","","","","",""
"Atlas lingüístico","Atlas linguístico","","","","","","","","","","","","","","","","","","",""
"Asín Palacios, Miguel","Asin Palacios, Miguel","","","","","","","","","","","","","","","","","","",""
"Association of Teachers of Japanese (Estados Unidos)","Association of Teachers of Japanese, Estados Unidos","","","","","","","","","","","","","","","","","","",""
"Aspectos psicológicos","Aspectos psicológicos.","","","","","","","","","","","","","","","","","","",""
"Aspectos políticos.","Aspectos políticos","","","","","","","","","","","","","","","","","","",""
"Asia del Sudeste","Asia del sudeste","","","","","","","","","","","","","","","","","","",""
"Arya-Samaj","Arya-samaj","","","","","","","","","","","","","","","","","","",""
"Arturo, Rey","Rey Arturo","","","","","","","","","","","","","","","","","","",""
"Artistas hispanoamericanos","Artistas Hispanoamericanos","","","","","","","","","","","","","","","","","","",""
"Armas nucleares-No proliferación","Armas nucleares No proliferación","","","","","","","","","","","","","","","","","","",""
"Area metropolitana de São Paulo (Brasil)","Area Metropolitana de São Paulo (Brasil)","","","","","","","","","","","","","","","","","","",""
"Araquistain, Luis","Araquistáin, Luis","","","","","","","","","","","","","","","","","","",""
"Apás, Chiapas","Apas, Chiapas","","","","","","","","","","","","","","","","","","",""
"Aptitudes musicales","Aptitudes músicales","","","","","","","","","","","","","","","","","","",""
"Aomori (Japón : Prefectura)","Aomori, Japón (Prefectura)","","","","","","","","","","","","","","","","","","",""
"Análisis literario","Análisis Literario","","","","","","","","","","","","","","","","","","",""
"Análisis de entrada-salida (Economía matemática)","Análisis de entrada-salida (economía matemática)","","","","","","","","","","","","","","","","","","",""
"Análisis de correspondencias (Estadística)","Análisis de correspondencias (Estadistica)","","","","","","","","","","","","","","","","","","",""
"Antofagasta, Chile","Antofagasta (Chile)","","","","","","","","","","","","","","","","","","",""
"Antipatías y prejuicios","Antipatias y prejuicios","","","","","","","","","","","","","","","","","","",""
"Anomía (Ciencias sociales)","Anomia (Ciencias sociales)","","","","","","","","","","","","","","","","","","",""
"Amoníaco","Amoniaco","","","","","","","","","","","","","","","","","","",""
"Amiel, Henri Frederic","Amiel, Henri Frédéric","","","","","","","","","","","","","","","","","","",""
"Amanalco de Becerra, México (Estado)","Amanalco de Becerra (Estado de México, México)","","","","","","","","","","","","","","","","","","",""
"Amadis de Gaula","Amadís de Gaula","","","","","","","","","","","","","","","","","","",""
"Almodóvar, Pedro","Almodóvar, Pedro,","","","","","","","","","","","","","","","","","","",""
"Alma y cuerpo","Cuerpo y alma","","","","","","","","","","","","","","","","","","",""
"Alemania (Territorio bajo la ocupación aliada, 1945-1955)","Alemania (Territorio bajo la ocupación aliada, 1945-1955","","","","","","","","","","","","","","","","","","",""
"Alemanes en Rio Grande do Sul, Brasil","Alemanes en Río Grande do Sul, Brasil","","","","","","","","","","","","","","","","","","",""
"Alcohólicos anónimos","Alcohólicos Anónimos","","","","","","","","","","","","","","","","","","",""
"Alamos (Sonora : México)","Alamos (Sonora, México)","","","","","","","","","","","","","","","","","","",""
"Akutagawa, Ryunosuke, 1892-1927","Akutagawa, Ryunosuke 1892-1927","","","","","","","","","","","","","","","","","","",""
"Akita (Japón : Prefectura)","Akita, Japón (Prefectura)","","","","","","","","","","","","","","","","","","",""
"Aichi (Japón : Prefectura)","Aichi, Japón (Prefectura)","","","","","","","","","","","","","","","","","","",""
"Africanos en el Caribe, Area del","Africanos en el Area del Caribe","","","","","","","","","","","","","","","","","","",""
"Adén, Yemen","Aden (Yemen)","","","","","","","","","","","","","","","","","","",""
"Adquisición de materiales hispanoaméricanos","Adquisición de materiales hispanoamericanos","","","","","","","","","","","","","","","","","","",""
"Acuiferos","Acuíferos","","","","","","","","","","","","","","","","","","",""
"Acolmán, México (Estado)","Acolman, México (Estado)","","","","","","","","","","","","","","","","","","",""
"Acero Industria y comercio","Acero-Industria y comercio","","","","","","","","","","","","","","","","","","",""
"Acaxochitlán, Hidalgo","Acaxochitlán (Hidalgo)","","","","","","","","","","","","","","","","","","",""
"Abd-el-Krim","Abd el-Krim","","","","","","","","","","","","","","","","","","",""
"Ámbar","Ambar","","","","","","","","","","","","","","","","","","",""
"yukaku","Yukaku","","","","","","","","","","","","","","","","","","",""
"women in advertising","Women in advertising.","","","","","","","","","","","","","","","","","","",""
"siglo XV/XVIII.","Siglo XV/XVIII.","","","","","","","","","","","","","","","","","","",""
"prosa chilena","Prosa chilena","","","","","","","","","","","","","","","","","","",""
"literatura wolof","Literatura wolof","","","","","","","","","","","","","","","","","","",""
"crímenes de honor","Crímenes de honor","","","","","","","","","","","","","","","","","","",""
"circuitos integrados","Circuitos integrados","","","","","","","","","","","","","","","","","","",""
"arabismo","Arabismo","","","","","","","","","","","","","","","","","","",""
"al-Mutanabbi, Abu al-Tayyib Ahmad ibn al-Husayn","al-Mutanabbi, Abu al-Tayyib Ahmad ibn al Husayn","","","","","","","","","","","","","","","","","","",""
"al-Mu'tamid","Al-Mu'Tamid","","","","","","","","","","","","","","","","","","",""
"al-Ma'arri, Abu-l-'Ala","Abu l-'Ala' al-Ma'arri","","","","","","","","","","","","","","","","","","",""
"al-Kindi","Al-Kindi","","","","","","","","","","","","","","","","","","",""
"al-Ansari al-Harawi, 'Abd Allah ibn Muhammad","al-Ansari al-Harawi, 'Abd Allah Ibn Muhammad","","","","","","","","","","","","","","","","","","",""
"`Antarah ibn Shaddad, al-`Absi","'Antarah ibn Shaddad, al-'Absi","","","","","","","","","","","","","","","","","","",""
"[Yukawa, Hideki]","Yukawa, Hideki","","","","","","","","","","","","","","","","","","",""
